city,county,state,population rank,name,e-mail,phone,"availability",license,year,aproximate count,cost,who,how,result,conversion rules/info,status
,Lake,Illinois,,,,,http://rest.lakecountyil.gov/ArcGIS/rest/services/TaxPortalBaseMap/MapServer/41,,,,,,,,,
,Lawrence,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_lawrence_co_il_taxmap/MapServer/0,,,,,,,,,
,Macon,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_macon_co_il_taxmap/MapServer/0,,,,,,,,,
,Macoupin,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_macoupin_co_il_taxmap/MapServer/0,,,,,,,,,
,Massac,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_massac_co_il_taxmap/MapServer/0,,,,,,,,,
,Menard,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_menard_co_il_taxmap/MapServer/0,,,,,,,,,
,Morgan,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_morgan_co_il_taxmap/MapServer/0,,,,,,,,,
,Moultrie,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_moultrie_co_il_taxmap_web_mercator/MapServer/0,,,,,,,,,
,Putnam,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_putnam_co_il_taxmap/MapServer/0,,,,,,,,,
,Schuyler,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_schuyler_co_il_taxmap/MapServer/0,,,,,,,,,
,Shelby,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_shelby_co_il_taxmap/MapServer/0,,,,,,,,,
,Tazewell,Illinois,,,,,http://services.arcgis.com/pPTAs43AFhhk0pXQ/ArcGIS/rest/services/TazewellCounty_Parcels_Owner/FeatureServer/0,,,,,,,,,
,Vermillion,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_vermilion_co_il_taxmap/MapServer/0,,,,,,,,,
,,,,,,,,,,,,,,,,
,Wayne,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_wayne_co_oh_taxmap/MapServer/0,,,,,,,,,
,Williamson,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_williamson_co_il_taxmap/MapServer/0,,,,,,,,,
,Benton,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Benton/Address_06.html,Public Domain,2012?,,,,,,,
,Boone,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Boone/Address_08.html,Public Domain,2012?,,,,,,,
,Bremer,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Bremer/Address_09.html,Public Domain,2012?,,,,,,,
,Buchanan,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Buchanan/Address_10.html,Public Domain,2012?,,,,,,,
,Buena Vista,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Buena_Vista/Address_11.html,Public Domain,2012?,,,,,,,
,Calhoun,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Calhoun/Address_13.html,Public Domain,2012?,,,,,,,
,Carroll,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Carroll/Address_14.html,Public Domain,2012?,,,,,,,
,Cass,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Cass/Address_15.html,Public Domain,2012?,,,,,,,
,Cherokee,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Cherokee/Address_18.html,Public Domain,2012?,,,,,,,
,Clarke,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Clarke/Address_20.html,Public Domain,2012?,,,,,,,
,Clay,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Clay/Address_21.html,Public Domain,2012?,,,,,,,
,Crawford,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Crawford/Address_24.html,Public Domain,2012?,,,,,,,
,Dallas,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Dallas/Address_25.html,Public Domain,2012?,,,,,,,
,Decatur,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Decatur/Address_27.html,Public Domain,2012?,,,,,,,
,Delaware,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Delaware/Address_28.html,Public Domain,2012?,,,,,,,
,Dickinson,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Dickinson/Address_30.html,Public Domain,2012?,,,,,,,
,Emmet,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Emmet/address_32.html,Public Domain,2012?,,,,,,,
,Franklin,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Franklin/Address_35.html,Public Domain,2012?,,,,,,,
,Fremont,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Fremont/Address_36.html,Public Domain,2012?,,,,,,,
,Greene,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Greene/Address_37.html,Public Domain,2012?,,,,,,,
,Guthrie,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Guthrie/Address_39.html,Public Domain,2012?,,,,,,,
,Hamilton,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Hamilton/Address_40.html,Public Domain,2012?,,,,,,,
,Hardin,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Hardin/Address_42.html,Public Domain,2012?,,,,,,,
,Harrison,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Harrison/Address_43.html,Public Domain,2012?,,,,,,,
,Howard,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Howard/Address_45.html,Public Domain,2012?,,,,,,,
,Humboldt,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Humboldt/Address_46.html,Public Domain,2012?,,,,,,,
,Ida,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Ida/Address_47.html,Public Domain,2012?,,,,,,,
,Jasper,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Jasper/Address_50.html,Public Domain,2012?,,,,,,,
,Kossuth,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Kossuth/Address_55.html,Public Domain,2012?,,,,,,,
,Linn,Iowa,,,,,http://gis.linncounty.org/arcgis/rest/services/POL/MapServer/0,,,,,,,,,
,Lucas,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Lucas/Address_59.html,Public Domain,2012?,,,,,,,
,Lyon,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Lyon/Address_60.html,Public Domain,2012?,,,,,,,
,Madison,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Madison/Address_61.html,Public Domain,2012?,,,,,,,
,Marion,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Marion/Address_63.html,Public Domain,2012?,,,,,,,
,Marshall,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Marshall/Address_64.html,Public Domain,2012?,,,,,,,
,Mills,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Mills/Address_65.html,Public Domain,2012?,,,,,,,
,Monona,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Monona/Address_67.html,Public Domain,2012?,,,,,,,
,Monroe,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Monroe/Address_68.html,Public Domain,2012?,,,,,,,
,Montgomery,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Montgomery/Address_69.html,Public Domain,2012?,,,,,,,
,Palo Alto,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Palo_Alto/Address_74.html,Public Domain,2012?,,,,,,,
,Pocahontas,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Pocahontas/Address_76.html,Public Domain,2012?,,,,,,,
,Pottawattamie,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Pottawattamie/Address_78.html,Public Domain,2012?,,,,,,,
,Sac,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Sac/Address_81.html,Public Domain,2012?,,,,,,,
,Shelby,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Shelby/Address_83.html,Public Domain,2012?,,,,,,,
,Sioux,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Sioux/Address_84.html,Public Domain,2012?,,,,,,,
,Story,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Story/Address_85.html,Public Domain,2012?,,,,,,,
,Warren,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Warren/Address_91.html,Public Domain,2012?,,,,,,,
,Webster,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Webster/Address_94.html,Public Domain,2012?,,,,,,,
,Winnebago,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Winnebago/Address_95.html,Public Domain,2012?,,,,,,,
,Winneshiek,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Winneshiek/Address_96.html,Public Domain,2012?,,,,,,,
,Wright,Iowa,,,,,ftp://ftp.igsb.uiowa.edu/gis_library/counties/Wright/Address_99.html,Public Domain,2012?,,,,,,,
Fort Wayne,,Indiana,70,,,,http://ags.acimap.us/arcgis/rest/services/,,,,,,,,,
Indianapolis,Marion,Indiana,12,http://www.indy.gov/eGov/County/ISA/Services/GIS/Pages/staff_dir.aspx,,,http://maps.indy.gov/ArcGIS10a/rest/services/MapIndyProperty/MapServer/0,,,,,,,,,
,Riley,Kansas,,Paul Bushore,,,ftp://ftpgis.rileycountyks.gov/ (credentials available from GIS department),,2012,20000,None,ToeBee,Website contact form/email,Permission to use data and login credentials,ogr2osm translation file: https://github.com/ToeBee/ogr2osm-translations/blob/master/riley_county/addresses.py,"Finished 
http://www.openstreetmap.org/browse/changeset/15415470
http://www.openstreetmap.org/browse/changeset/15415758"
Wichita,Sedgwick,Kansas,50,,,,http://gis.sedgwick.gov/gisdata/default1.asp,,,,,,,,,
Lexington-Fayette,Fayette,Kentucky,64,,,,http://data.lexingtonky.gov/dataset/parcel,Public Domain,2013,,,,,,,
,St. James Parish,Louisiana,,,,,http://stjamesassessor.com/gis-data,,,,,,,,,
Baton Rouge,,Louisiana,84,,,,,,,,,,,,,
New Orleans,,Louisiana,37,,,,,,,,,,,,,
Baltimore,,Maryland,18,,,,https://data.baltimorecity.gov/Geographic/Parcels-Shape/jk3c-vrfy,Public Domain,,,free,,,,,
Boston,,Massachusetts,21,,,,http://www.mass.gov/anf/research-and-tech/it-serv-and-support/application-serv/office-of-geographic-information-massgis/datalayers/ftpl3parcels.html,,,,,,,,,
Detroit,,Michigan,10,Daryl Edwards,dedwards@detroitmi.gov,313-224-1295,,,,,,,,,,
,Aitkin,Minnesota,,,,,http://gisweb.co.aitkin.mn.us/arcgis/rest/services/MapLayers/MapServer/3,,,,,,,,,
,Anoka,Minnesota,,,,,http://gisservices.co.anoka.mn.us/anoka_gis/rest/services/Address_Pts/MapServer/0,,,,,,,,,
,Becker,Minnesota,,,,,http://gis-server.co.becker.mn.us/data/gis/shapefiles/drive_pnts.zip,,,,,,,,,
,Carver,Minnesota,,Mark Kotz,mark.kotz@metc.state.mn.us,,ftp://gisftp.metc.state.mn.us/Parcels2009.zip,PD + Indemnification,2009,,None,iandees,,,,
,Cass,Minnesota,,,,,http://www.co.cass.mn.us/arcgis/rest/services/Basic_Layers/MapServer/1,,,,,,,,,
,Chisago,Minnesota,,,,,http://24.56.144.170/wf2_chisagopublic/download/addresses.zip,,,,,,,,,
,Clay,Minnesota,,,,,ftp://gis.co.clay.mn.us/Download/Clay/ClayAddresses.zip,,,,,,,,,
,Crow Wing,Minnesota,,,,,http://gis.co.crow-wing.mn.us/arcgis/rest/services/CROWWINGGENERAL/MapServer/12,,,,,,,,,
,Dakota,Minnesota,,Mark Kotz,mark.kotz@metc.state.mn.us,,ftp://gisftp.metc.state.mn.us/Parcels2009.zip,PD + Indemnification,2009,,None,iandees,,,,
Minneapolis,Hennepin,Minnesota,47,,,,http://gis.co.hennepin.mn.us/ArcGIS/rest/services/Maps/PROPERTY/MapServer/0,,,,,,,,,
,Lake of the Woods,Minnesota,,,,,http://oak.co.lake-of-the-woods.mn.us/arcgis/rest/services/LOW_Internal/MapServer/54,,,,,,,,,
,Mille Lacs,Minnesota,,,,,http://136.234.73.7/arcgis/rest/services/MilleLacs_E911/MapServer/0,,,,,,,,,
,Nicollet,Minnesota,,David Runck,drunck@co.nicollet.mn.us,,,,,,,,,,,
,Otter Tail,Minnesota,,,,,http://www.ottertailcounty.net/arcgiswa/rest/services/Address_Roads/MapServer/0,,,,,,,,,
,Polk,Minnesota,,,,,http://gis.co.polk.mn.us/arcgis/rest/services/PolkAll/MapServer/12,,,,,,,,,
,Pope,Minnesota,,,,,http://gis.co.pope.mn.us/arcgis/rest/services/PopeAll_101/MapServer/4,,,,,,,,,
St. Paul,Ramsey,Minnesota,66,Mark Kotz,mark.kotz@metc.state.mn.us,,ftp://gisftp.metc.state.mn.us/Parcels2009.zip,PD + Indemnification,2009,,None,iandees,,,,
,Redwood,Minnesota,,Beth Koch,beth_k@co.redwood.mn.us,,,,,,,,,,,
,Renville,Minnesota,,,,,http://gis.co.renville.mn.us/arcgis/rest/services/RENVILLEPUBLIC/MapServer/3,,,,,,,,,
,Rice,Minnesota,,,RCGIS@co.rice.mn.us,507-332-5950,,,,,,,,,,
,Roseau,Minnesota,,,,,http://gis.co.roseau.mn.us/arcgis/rest/services/Roseau_OperationalData/MapServer/0,,,,,,,,,
,Scott,Minnesota,,Mark Kotz,mark.kotz@metc.state.mn.us,,ftp://gisftp.metc.state.mn.us/Parcels2009.zip,PD + Indemnification,2009,,None,iandees,,,,
,Sherbourne,Minnesota,,,gis@co.sherburne.mn.us,763-765-3300,,,,,,,,,,
,Sibley,Minnesota,,(Public Works Dept),SIbleyPW@co.sibley.mn.us,507-237-4092,,,,,,,,,,
,Stearns,Minnesota,,Randy R. Schreifels,GIS.Web@co.stearns.mn.us,(320) 656-3900,http://maps.co.stearns.mn.us/uniquesig0767a81117f95d93bd9262ca4c328fca1cbca10efc455a2064f980d7dba6c440/uniquesig0/arcgis/rest/services/MYGOVFLEXPARCELS/MapServer/0,,,,,,,,,
,Stevens,Minnesota,,Jenna Walz,jennawalz@co.stevens.mn.us,(320) 208-6578,,,,,,,,,,
,St. Louis,Minnesota,,,,,http://gis.stlouiscountymn.gov/arcgis/rest/services/Planning/CLE_PLSS_Cadastral_Parcels/MapServer/17/query?outFields=%2A,,,,,,,,,
,Wadena,Minnesota,,,,,http://gis.co.wadena.mn.us/arcgis/rest/services/WADENAPUBLIC/MapServer/0,,,,,,,,,
,Washington,Minnesota,,Mark Kotz,mark.kotz@metc.state.mn.us,,ftp://gisftp.metc.state.mn.us/Parcels2009.zip,PD + Indemnification,2009,,None,iandees,,,,
,Wilkin,Minnesota,,,,,http://gisweb.co.wilkin.mn.us/arcgis/rest/services/WilkinPublic/MapServer/16,,,,,,,,,
,Winona,Minnesota,,,,,http://www.gosoutheastmn.com/ArcGIS/rest/services/Streets_Addresses/MapServer/2,,,,,,,,,
,Wright,Minnesota,,Michael Pooler,Michael.Pooler@co.wright.mn.us,763-684-2390,,,,,,,,,,
,Yellow Medicine,Minnesota,,,,,http://gis.co.ym.mn.gov/arcgis/rest/services/YellowMedicine/YellowMedicine_All/MapServer/39,,,,,,,,,
,Greene,Missouri,,,,,ftp://msdis.missouri.edu/pub/Cultural_Society_Demography/MO_2012_Greene_County_Situs_Addresses_shp.zip,,2012,,,,,,,
Kansas City,,Missouri,35,,maps@kcmo.org,816-513-0860,http://maps.kcmo.org/kcgis/rest/services/external/Platting/MapServer/40,,,,,,,,,
St. Louis,,Missouri,51,,gis@stlouisco.com,314.615.4447,http://stlcin.missouri.org/citydata/downloads/pargeocd.zip,http://stlcin.missouri.org/citydata/downloads/terms.cfm,,,,,,,,
Lincoln,,Nebraska,73,David Cary,dcary@lincoln.ne.gov,402-441-7491,http://lincoln.ne.gov/city/plan/its/gis.htm,,,,,,,,,
Omaha,Douglas,Nebraska,42,,,,http://gis.dogis.org/arcgis/rest/services/Parcels_Cache/MapServer/0,Imdemnification?,,,,,,,,
Henderson,,Nevada,79,,,,http://maps.cityofhenderson.com/ArcGIS/rest/services/public/BasemapMAX/MapServer/4,http://www.cityofhenderson.com/gis/disclaimer.php,,,,,,,,
Las Vegas,,Nevada,28,,,(702) 455-3855,http://mapdata.lasvegasnevada.gov/clvgis/rest/services/AdministrativeBoundaries/Condo_Parcels/MapServer/0,,,,,,,,,
Reno,Washoe,Nevada,92,Gary Beekman,gbeekman@washoecounty.us,(775) 328-3619,ftp://wcftp.washoecounty.us/outtoworld/dwh/addresses_oct2013.zipx,,10/2013,,,,,,,
,Woodbridge,New Jersey,,,,,http://njgin.state.nj.us/download2/parcels/parcels_shp_Woodbridge.zip,,,,,,,,,
Newark,,New Jersey,68,,GISMAIL@ci.newark.nj.us,,,,,,,,,,,
Albuquerque,,New Mexico,32,,agis@cabq.gov,,http://manzano.cabq.gov/gisshapes/base.zip,,,,,,,,,
,Allegany,New York,,,,,http://gis.ny.gov/gisdata/inventories/details.cfm?dsid=921&nysgis=,,,,,,,,,
Buffalo,,New York,65,Dale J. Morris,,(716) 858-8390,,,,,,,,,,
,Cattaraugus,New York,,,,,http://gis.ny.gov/gisdata/inventories/details.cfm?dsid=921&nysgis=,,,,,,,,,
Huntington,Suffolk,New York,96,,,,,,,,,,,,,
New York,,New York,1,,,,,,,,,,,,,
North Hempstead,,New York,81,,,,,,,,,,,,,
Rochester,,New York,90,,,,,,,,,,,,,
,Alexander,North Carolina,,,,,http://maps.co.alexander.nc.us/arcgis/rest/services/Regional_Site/MapServer/0,,,,,,,,,
,Columbus,North Carolina,,,,,http://www.columbusco.org/GISData/Addresses.zip,,,,,,,,,
Cary,Wake,North Carolina,,,,,ftp://199.72.17.76/GIS/CaryBuildings.zip,,,,,,,,,
Chapel Hill,Orange,North Carolina,,,,,http://gis.townofchapelhill.org/GIS_Data/addresses.zip,,,,,,,,,
Charlotte,Mecklenburg,North Carolina,19,,,,http://gis.mecklenburgcountync.gov/data/MAT.zip,,,,,,,,,
Durham,,North Carolina,94,,gis@durhamnc.gov,919.560.4122,,,,,,,,,,
,Forsyth,North Carolina,,Glenn West,westwg@forsyth.cc,(336)703-2374,http://www.cityofws.org/portals/0/pdf/planning/GIS/Data-Sets/FCparcel_1-1-13.zip,,,,,,,,,
Greensboro,,North Carolina,76,,,,,,,,,,,,,
High Point,,North Carolina,,Thomas A. Tricot,GIS@highpointnc.gov,336.883.3286,http://gisweb.high-point.net/clearinghouse/shapes/hp_address.zip,,,,,,,,,
,Orange,North Carolina,,,rheaton@ci.carrboro.nc.us,919-918-7328,http://web.co.orange.nc.us/gisdownloads/addresses.zip,Indemnification,,,,,,,,
Raleigh,,North Carolina,52,,,,,,,,,,,,,
,Salisbury,North Carolina,,,,,http://gis.salisburync.gov/ArcGIS/rest/services/SalisburyAddresses/MapServer/0,,,,,,,,,
,Union,North Carolina,,,,,http://www.co.union.nc.us/Portals/0/GIS/shapes/address_points.zip,,11/2013,,,,,,,
Bismarck,,North Dakota,,,,,ftp://ftp.state.nd.us/Landbase10-30-2013.zip,,,,,,,,,
